Feature,Importance
Rolling_Mean_4,0.4257445
Lag_1_Week_Sales,0.39125785
Lag_4_Week_Sales,0.047344256
Rolling_Mean_12,0.04401526
IsHoliday,0.0163259
Quarter,0.015038962
Month,0.012191747
Week,0.010332139
Dept,0.006771151
Rolling_Std_4,0.00666917
Lag_12_Week_Sales,0.006030865
Type_Code,0.0036320216
Unemployment,0.0027807802
Size,0.0023634827
Year,0.0020595395
Temperature,0.0019848682
CPI,0.001887738
Store,0.001792944
Fuel_Price,0.001776707
DayOfWeek,0.0
IsWeekend,0.0
