Model,MAE,RMSE,R2,WAPE
Naive Baseline,1546.0082788594398,3431.0923560578735,0.9756868281066136,0.09748883989734212
XGBoost,1280.5036427265397,2667.5502699802455,0.9853039023553402,0.08074653694987152
